campaign,zone,production_label,specie,production,yield_value,yield_unit
2021,50,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,0",quintal_per_hectare
2022,50,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"80,0",quintal_per_hectare
2023,50,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"74,0",quintal_per_hectare
2024,50,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
2025,50,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"79,0",quintal_per_hectare
2021,51,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"82,0",quintal_per_hectare
2022,51,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"87,0",quintal_per_hectare
2023,51,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"85,0",quintal_per_hectare
2024,51,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,0",quintal_per_hectare
2025,51,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"87,0",quintal_per_hectare
2021,52,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
2022,52,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,0",quintal_per_hectare
2023,52,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"62,0",quintal_per_hectare
2024,52,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,6",quintal_per_hectare
2025,52,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,0",quintal_per_hectare
2021,53,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"73,0",quintal_per_hectare
2022,53,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"75,0",quintal_per_hectare
2023,53,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"78,0",quintal_per_hectare
2024,53,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"60,0",quintal_per_hectare
2025,53,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,0",quintal_per_hectare
