category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Semis,,Pneumatique monobarre 6 rangs enterrage disques,32000.0,60,67.5,80,51.1,100,41.3,1.2,
Semis,,"Pneumatique monobarre, 12 rangs enterrage disques",41790.0,120,89.6,150,72.6,180,61.2,2.4,
Semis,,Pneumatique repliable 12 rangs enterrage disques,50100.0,120,106.6,150,86.1,180,72.5,2.4,
Semis,,"Pneumatique repliable 12 rangs, toutes options, enterrage disques, chasse-débris, Fertil, micro-granulé,",66875.0,120,140.8,150,113.5,180,95.3,2.4,
Semis,,"Pneumatique repliable Semoir rapide 12 rangs, toutes options, chasse débris, Fertil, micro-granulé, Équipements pour semoirs monograines Fertiliseur par rangs Microgranulateur par rangs Chasse débris par rangs Combinés de semis Cultivateur rotatif + semoir céréales mécanique 3 m + portacourt",84200.0,150,177.3,200,134.3,250,108.5,3.0,
Semis,,Cultiv. rotatif + semoir 3 m + portacourt Cultivateur rotatif 3 m Semoir céréales méca 3 m u,34200.0,80,56.5,100,46.6,120,40.0,1.0,
Semis,,Cultivateur rotatif + semoir céréales mécanique 4 m + portacourt Cultiv. rotatif + semoir 4 m + portacourt Cultivateur rotatif 4 m Herse rotative + semoir céréales mécanique 3 m + portacourt,26380.0,120,84.9,140,74.5,160,66.7,1.5,
Semis,,"HR + semoir 3 m + portacourt Herse rotative 3 m Herse rotative + semoir céréales intégré 3,50 m",20000.0,80,68.5,100,56.1,120,47.8,1.2,
Semis,,"HR + semoir 3,50 m Herse rotative 3,50 m Herse rotative + semoir céréales mécanique 4 m + portacourt",26000.0,150,69.0,175,60.3,200,53.8,1.5,
Semis,,HR + semoir 4 m + portacourt Herse rotative 4 m Combiné 4 m haut de gamme : herse rotative + semoir céréales entraînement électrique et toutes options,29000.0,120,91.3,140,79.5,160,70.7,1.7,
Semis,,HR + semoir 4 m toutes options Herse rotative 4 m Herse alternative + semoir céréales méca 4 m + portacourt,29000.0,150,95.0,200,73.7,250,60.9,1.8,
Semis,,HA + semoir 4 m + portacourt Herse alternative 4 m Vibro dents rouleau « VibroSem » + semoir méca 3 m,14910.0,120,54.6,140,47.8,160,42.7,1.4,
Semis,,« Vibrosem » + semoir 3 m Vibrosem dents + rouleau 3 m Vibro dents rouleau « VibroSem » + semoir méca 4 m,4240.0,60,31.4,80,24.3,100,20.0,1.0,
Semis,,« Vibrosem » + semoir 4 m Vibrosem dents + rouleau 4 m Déchaumeur 6 m à disques indépendants + semoir intégré avec trémie avant,9570.0,100,36.5,125,29.9,150,25.5,1.2,
Semis,,Déchaumeur + semoir céréales intégré Déchaumeur rapide 6 m Déchaumeur 7 m à disques indépendants + semoir intégré avec trémie avant,70000.0,250,192.6,325,152.9,400,128.1,4.5,
Semis,,"Déchaumeur + semoir céréales intégré Déchaumeur rapide 7 m, BARÈME D’ENTRAIDE - HORIZONS - 2026 u 23",80350.0,500,197.5,600,168.7,700,148.2,5.5,
